time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
5.000352859497070312e-03,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
1.000070571899414062e-02,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
1.500129699707031250e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
2.000188827514648438e-02,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
2.500224113464355469e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
3.000259399414062500e-02,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
3.500270843505859375e-02,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
4.000353813171386719e-02,1.907377737087045944e-04,1.043956043956058011e-01,8.791208791208759976e-03
4.500389099121093750e-02,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
5.000424385070800781e-02,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
5.500531196594238281e-02,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
6.000590324401855469e-02,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
6.500649452209472656e-02,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
7.000732421875000000e-02,1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
7.500791549682617188e-02,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
8.000898361206054688e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
8.500981330871582031e-02,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
9.001135826110839844e-02,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
9.501171112060546875e-02,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
1.000120639801025391e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
1.050131320953369141e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
1.100137233734130859e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
1.150145530700683594e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
1.200153827667236328e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
1.250157356262207031e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
1.300160884857177734e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
1.350164413452148438e-01,1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
1.400187015533447266e-01,1.907377737087045944e-04,7.142857142857295116e-02,2.930402930402919992e-03
1.450192928314208984e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
1.500194072723388672e-01,1.907377737087045944e-04,1.373626373626386510e-01,8.791208791208759976e-03
1.550209522247314453e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
1.600220203399658203e-01,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
1.650223731994628906e-01,1.907377737087045944e-04,-6.043956043956200119e-02,2.930402930402919992e-03
1.700236797332763672e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
1.750237941741943359e-01,-1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
1.800239086151123047e-01,1.907377737087045944e-04,3.846153846154010125e-02,2.930402930402919992e-03
1.850242614746093750e-01,1.907377737087045944e-04,1.043956043956058011e-01,8.791208791208759976e-03
1.903042793273925781e-01,1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
1.953046321868896484e-01,1.907377737087045944e-04,-9.340659340659485110e-02,8.791208791208759976e-03
2.003052234649658203e-01,5.722133211261137831e-04,1.043956043956058011e-01,8.791208791208759976e-03
2.053058147430419922e-01,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
2.104392051696777344e-01,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
2.154395580291748047e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
2.204413414001464844e-01,1.907377737087045944e-04,3.846153846154010125e-02,8.791208791208759976e-03
2.254416942596435547e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
2.304420471191406250e-01,1.907377737087045944e-04,-6.043956043956200119e-02,8.791208791208759976e-03
2.354423999786376953e-01,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
2.404429912567138672e-01,1.907377737087045944e-04,5.494505494507251342e-03,8.791208791208759976e-03
