time,position,velocity,torque
0.000000000000000000e+00,-1.907377737087045944e-04,-9.340659340659485110e-02,2.930402930402919992e-03
5.000352859497070312e-03,5.722133211261137831e-04,1.373626373626386510e-01,3.369963369963375754e-01
1.000070571899414062e-02,1.335164415960932160e-03,1.043956043956058011e-01,5.128205128205127750e-01
1.500105857849121094e-02,1.716639963378341349e-03,7.142857142857295116e-02,6.945054945054938145e-01
2.000141143798828125e-02,1.716639963378341349e-03,-6.043956043956200119e-02,6.065934065934062147e-01
2.500200271606445312e-02,1.716639963378341349e-03,7.142857142857295116e-02,5.948717948717945347e-01
3.013658523559570312e-02,2.479591058213159727e-03,1.373626373626386510e-01,6.183150183150178947e-01
3.513693809509277344e-02,2.861066605630568915e-03,7.142857142857295116e-02,6.945054945054938145e-01
4.013705253601074219e-02,3.624017700465387293e-03,7.142857142857295116e-02,7.296703296703288544e-01
4.513764381408691406e-02,4.005493247882796481e-03,-2.747252747252915128e-02,2.666666666666674956e-01
5.013895034790039062e-02,4.768444342717614859e-03,1.923076923076934008e-01,5.186813186813186149e-01
5.518436431884765625e-02,6.294346532387251614e-03,4.560439560439562001e-01,6.300366300366295746e-01
6.018495559692382812e-02,7.820248722056888369e-03,1.923076923076934008e-01,8.937728937728941503e-01
6.518554687500000000e-02,8.201724269474297557e-03,1.043956043956058011e-01,9.523809523809525501e-01
7.018637657165527344e-02,9.727626459143934312e-03,2.912087912087919506e-01,8.761904761904766303e-01
7.518720626831054688e-02,1.087205310139616188e-02,2.912087912087919506e-01,9.347985347985350302e-01
8.018755912780761719e-02,1.201647974364838944e-02,2.252747252747262507e-01,1.010989010989010950e+00
8.518791198730468750e-02,1.392385748073543539e-02,4.230769230769233502e-01,9.875457875457875900e-01
9.018826484680175781e-02,1.583123521782248133e-02,3.241758241758248005e-01,1.081318681318681030e+00
9.518861770629882812e-02,1.697566186007470890e-02,2.582417582417591007e-01,1.081318681318681030e+00
1.001887321472167969e-01,1.888303959716175484e-02,4.230769230769233502e-01,9.992673992673992700e-01
1.051888465881347656e-01,2.079041733424880078e-02,4.890109890109890500e-01,1.069597069597069350e+00
1.101889610290527344e-01,2.346074616617066511e-02,5.769230769230766498e-01,1.057875457875457670e+00
1.151890754699707031e-01,2.574959945067512024e-02,4.560439560439562001e-01,1.104761904761904390e+00
1.201891899108886719e-01,2.803845273517957537e-02,4.890109890109890500e-01,1.098901098901098550e+00
1.251893043518066406e-01,3.070878156710143969e-02,7.087912087912080494e-01,1.128205128205127750e+00
1.301894187927246094e-01,3.337911039902330401e-02,5.769230769230766498e-01,1.169230769230768630e+00
1.351895332336425781e-01,3.643091477836257752e-02,5.439560439560437999e-01,1.204395604395603669e+00
1.401896476745605469e-01,3.948271915770185103e-02,6.098901098901094997e-01,1.210256410256409509e+00
