time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
5.000352859497070312e-03,5.722133211261137831e-04,1.373626373626386510e-01,3.135531135531142155e-01
1.230168342590332031e-02,3.624017700465387293e-03,6.428571428571423496e-01,4.835164835164835750e-01
1.730275154113769531e-02,5.912870984969842425e-03,2.582417582417591007e-01,2.256410256410248394e-01
2.230310440063476562e-02,5.531395437552433236e-03,-2.747252747252915128e-02,4.307692307692310152e-01
2.730393409729003906e-02,5.531395437552433236e-03,3.846153846154010125e-02,3.252747252747258955e-01
3.230428695678710938e-02,5.912870984969842425e-03,3.846153846154010125e-02,3.428571428571434154e-01
3.730487823486328125e-02,5.912870984969842425e-03,1.373626373626386510e-01,3.956043956043959753e-01
4.230642318725585938e-02,7.057297627222069991e-03,2.912087912087919506e-01,4.893772893772894150e-01
4.730677604675292969e-02,7.438773174639479180e-03,1.043956043956058011e-01,5.714285714285711748e-01
5.230736732482910156e-02,7.820248722056888369e-03,1.373626373626386510e-01,6.241758241758237347e-01
5.730772018432617188e-02,8.964675364309115935e-03,1.703296703296715009e-01,6.476190476190470946e-01
6.230783462524414062e-02,9.727626459143934312e-03,2.252747252747262507e-01,7.472527472527463743e-01
6.730794906616210938e-02,1.049057755397875269e-02,1.373626373626386510e-01,8.058608058608065505e-01
7.230830192565917969e-02,1.125352864881357107e-02,1.923076923076934008e-01,8.117216117216123905e-01
7.730889320373535156e-02,1.239795529106579863e-02,2.912087912087919506e-01,8.468864468864474304e-01
8.230900764465332031e-02,1.430533302815284458e-02,4.560439560439562001e-01,9.289377289377291902e-01
8.730912208557128906e-02,1.583123521782248133e-02,2.912087912087919506e-01,1.069597069597069350e+00
9.233069419860839844e-02,1.659418631265729971e-02,1.923076923076934008e-01,1.016849816849816790e+00
9.733080863952636719e-02,1.888303959716175484e-02,5.439560439560437999e-01,9.641025641025642301e-01
1.023309230804443359e-01,2.079041733424880078e-02,2.912087912087919506e-01,1.052014652014651830e+00
1.073310375213623047e-01,2.307927061875325592e-02,3.901098901098905003e-01,1.063736263736263510e+00
1.123311519622802734e-01,2.536812390325771105e-02,4.560439560439562001e-01,1.116483516483516070e+00
1.173312664031982422e-01,2.841992828259698456e-02,5.439560439560437999e-01,1.186813186813186149e+00
1.223313808441162109e-01,3.109025711451884888e-02,6.098901098901094997e-01,1.186813186813186149e+00
1.273314952850341797e-01,3.376058594644071320e-02,5.439560439560437999e-01,1.227838827838827029e+00
1.323316097259521484e-01,3.681239032577998671e-02,6.428571428571423496e-01,1.227838827838827029e+00
1.373317241668701172e-01,4.024567025253666941e-02,7.087912087912080494e-01,1.163369963369962790e+00
1.423318386077880859e-01,4.329747463187594292e-02,7.417582417582408993e-01,1.139926739926739430e+00
1.473321914672851562e-01,4.749370565346744399e-02,8.736263736263722990e-01,1.116483516483516070e+00
1.523323059082031250e-01,5.168993667505894507e-02,8.076923076923065992e-01,1.198534798534797829e+00
1.573324203491210938e-01,5.626764324406785533e-02,9.285714285714270488e-01,1.175091575091574470e+00
1.623325347900390625e-01,6.008239871824194722e-02,8.736263736263722990e-01,1.251282051282052166e+00
1.673326492309570312e-01,6.389715419241603911e-02,8.956043956043941989e-01,1.134065934065933590e+00
1.723327636718750000e-01,6.885633630884235856e-02,1.093406593406594851e+00,1.034432234432234310e+00
1.773328781127929688e-01,7.457846952010349639e-02,1.159340659340660551e+00,1.028571428571428470e+00
1.823329925537109375e-01,7.991912718394722503e-02,9.945054945054927487e-01,1.145787545787545270e+00
1.873331069946289062e-01,8.449683375295613530e-02,9.285714285714270488e-01,1.180952380952380310e+00
1.923332214355468750e-01,8.945601586938245475e-02,1.060439560439562001e+00,1.034432234432234310e+00
1.973333358764648438e-01,9.441519798580877421e-02,1.159340659340660551e+00,9.172161172161175102e-01
2.023334503173828125e-01,1.009002822919047304e-01,1.247252747252748151e+00,9.289377289377291902e-01
2.073335647583007812e-01,1.070038910505832774e-01,1.159340659340660551e+00,1.057875457875457670e+00
2.123336791992187500e-01,1.123445487144270061e-01,9.285714285714270488e-01,1.122344322344321910e+00
2.173337936401367188e-01,1.176852063782707347e-01,1.159340659340660551e+00,9.289377289377291902e-01
2.223339080810546875e-01,1.241702906843666909e-01,1.346153846153846700e+00,8.117216117216123905e-01
2.273340225219726562e-01,1.310368505378800563e-01,1.445054945054945250e+00,9.934065934065934300e-01
2.323341369628906250e-01,1.371404592965586033e-01,1.093406593406594851e+00,1.180952380952380310e+00
2.373342514038085938e-01,1.420996414129849228e-01,1.126373626373627701e+00,1.016849816849816790e+00
2.423346042633056641e-01,1.489662012664982882e-01,1.478021978021978100e+00,8.058608058608065505e-01
2.473347187042236328e-01,1.565957122148464720e-01,1.478021978021978100e+00,9.523809523809525501e-01
2.523348331451416016e-01,1.626993209735250190e-01,1.192307692307693401e+00,1.139926739926739430e+00
2.573351860046386719e-01,1.695658808270383844e-01,1.346153846153846700e+00,9.054945054945058303e-01
2.623355388641357422e-01,1.752880140382995222e-01,1.478021978021978100e+00,8.058608058608065505e-01
2.673356533050537109e-01,1.829175249866477060e-01,1.510989010989010950e+00,9.816849816849817500e-01
2.723438739776611328e-01,1.894026092927436622e-01,1.192307692307693401e+00,1.081318681318681030e+00
2.773439884185791016e-01,1.958876935988396184e-01,1.313186813186813851e+00,8.644688644688649504e-01
2.823441028594970703e-01,2.031357289997703930e-01,1.598901098901098550e+00,7.765567765567773506e-01
2.873442173004150391e-01,2.107652399481185768e-01,1.478021978021978100e+00,9.758241758241759101e-01
2.923443317413330078e-01,2.172503242542145330e-01,1.225274725274726251e+00,9.992673992673992700e-01
2.973444461822509766e-01,2.244983596551453076e-01,1.445054945054945250e+00,8.293040293040299105e-01
3.023445606231689453e-01,2.321278706034934913e-01,1.543956043956043800e+00,8.820512820512824703e-01
3.073446750640869141e-01,2.389944304570068567e-01,1.280219780219781001e+00,9.992673992673992700e-01
3.123447895050048828e-01,2.458609903105202221e-01,1.543956043956043800e+00,8.410256410256415904e-01
3.173449039459228516e-01,2.538719768062875914e-01,1.697802197802197099e+00,8.175824175824182305e-01
3.223450183868408203e-01,2.611200122072183660e-01,1.478021978021978100e+00,1.010989010989010950e+00
3.273451328277587891e-01,2.676050965133143222e-01,1.192307692307693401e+00,9.113553113553116702e-01
3.323452472686767578e-01,2.748531319142450968e-01,1.543956043956043800e+00,7.472527472527463743e-01
3.373453617095947266e-01,2.836270695048455082e-01,1.565934065934065700e+00,9.172161172161175102e-01
3.423454761505126953e-01,2.904936293583588736e-01,1.280219780219781001e+00,9.875457875457875900e-01
3.473455905914306641e-01,2.965972381170374206e-01,1.412087912087912400e+00,7.706959706959715106e-01
3.523457050323486328e-01,3.049897001602204227e-01,1.631868131868131400e+00,7.413919413919405343e-01
3.573458194732666016e-01,3.126192111085686065e-01,1.478021978021978100e+00,9.699633699633700701e-01
3.623459339141845703e-01,3.187228198672471535e-01,1.247252747252748151e+00,8.644688644688649504e-01
3.673460483551025391e-01,3.263523308155953373e-01,1.565934065934065700e+00,7.179487179487171744e-01
3.723461627960205078e-01,3.339818417639435211e-01,1.510989010989010950e+00,8.527472527472532704e-01
3.773465156555175781e-01,3.408484016174568865e-01,1.225274725274726251e+00,9.172161172161175102e-01
3.823466300964355469e-01,3.473334859235528427e-01,1.445054945054945250e+00,7.179487179487171744e-01
3.873469829559326172e-01,3.553444724193184356e-01,1.598901098901098550e+00,7.296703296703288544e-01
3.923470973968505859e-01,3.622110322728318010e-01,1.379120879120879550e+00,8.761904761904766303e-01
3.973472118377685547e-01,3.683146410315103481e-01,1.225274725274726251e+00,7.882783882783890306e-01
4.023473262786865234e-01,3.755626764324411226e-01,1.510989010989010950e+00,6.886446886446879745e-01
4.073474407196044922e-01,3.824292362859544880e-01,1.313186813186813851e+00,7.824175824175831906e-01
4.123475551605224609e-01,3.889143205920504442e-01,1.192307692307693401e+00,8.234432234432240705e-01
4.173476696014404297e-01,3.946364538033115821e-01,1.247252747252748151e+00,6.652014652014646146e-01
4.223477840423583984e-01,4.018844892042423567e-01,1.445054945054945250e+00,6.417582417582412546e-01
4.273478984832763672e-01,4.083695735103383129e-01,1.225274725274726251e+00,7.824175824175831906e-01
4.323482513427734375e-01,4.140917067215994507e-01,1.126373626373627701e+00,7.413919413919405343e-01
4.373483657836914062e-01,4.201953154802779977e-01,1.280219780219781001e+00,5.948717948717945347e-01
4.423487186431884766e-01,4.270618753337913631e-01,1.379120879120879550e+00,6.534798534798529346e-01
4.473488330841064453e-01,4.324025329976350918e-01,8.956043956043941989e-01,8.000000000000007105e-01
4.523489475250244141e-01,4.373617151140614112e-01,1.027472527472529151e+00,7.531135531135539907e-01
4.573493003845214844e-01,4.427023727779051399e-01,1.192307692307693401e+00,5.831501831501828548e-01
4.623494148254394531e-01,4.488059815365836869e-01,1.247252747252748151e+00,5.655677655677653348e-01
4.673495292663574219e-01,4.549095902952622339e-01,1.192307692307693401e+00,7.062271062271054944e-01
4.723496437072753906e-01,4.591058213168537350e-01,7.747252747252737493e-01,7.589743589743598307e-01
4.773497581481933594e-01,4.636835278858626452e-01,8.736263736263722990e-01,5.890109890109886948e-01
4.823501110076904297e-01,4.686427100022889647e-01,9.285714285714270488e-01,5.069597069597069350e-01
4.873502254486083984e-01,4.739833676661326933e-01,1.027472527472529151e+00,5.714285714285711748e-01
4.923503398895263672e-01,4.785610742351416036e-01,8.406593406593394491e-01,6.593406593406587746e-01
4.973504543304443359e-01,4.823758297093156955e-01,7.087912087912080494e-01,6.945054945054938145e-01
5.023505687713623047e-01,4.861905851834897874e-01,7.417582417582408993e-01,6.300366300366295746e-01
5.073509216308593750e-01,4.900053406576638793e-01,8.076923076923065992e-01,5.714285714285711748e-01
5.123510360717773438e-01,4.942015716792553803e-01,7.747252747252737493e-01,5.362637362637361349e-01
5.173511505126953125e-01,4.976348516060120630e-01,6.428571428571423496e-01,5.538461538461536549e-01
5.223512649536132812e-01,5.006866559853513365e-01,7.417582417582408993e-01,5.128205128205127750e-01
5.273513793945312500e-01,5.045014114595254284e-01,7.747252747252737493e-01,5.362637362637361349e-01
5.323514938354492188e-01,5.067902647440298836e-01,4.560439560439562001e-01,6.183150183150178947e-01
5.373516082763671875e-01,5.094605935759517479e-01,3.571428571428576504e-01,5.421245421245419749e-01
5.423517227172851562e-01,5.121309224078736122e-01,5.219780219780218999e-01,4.893772893772894150e-01
5.473518371582031250e-01,5.140383001449606581e-01,3.241758241758248005e-01,4.659340659340660551e-01
5.523519515991210938e-01,5.163271534294651133e-01,4.560439560439562001e-01,4.600732600732602151e-01
5.573520660400390625e-01,5.186160067139695684e-01,3.571428571428576504e-01,4.542124542124543751e-01
5.623521804809570312e-01,5.201419089036392052e-01,1.923076923076934008e-01,4.717948717948718951e-01
5.673522949218750000e-01,5.216678110933088419e-01,3.241758241758248005e-01,4.131868131868134952e-01
5.723526477813720703e-01,5.224307621881436603e-01,1.703296703296715009e-01,4.190476190476193352e-01
5.773527622222900391e-01,5.231937132829784787e-01,2.252747252747262507e-01,4.014652014652018153e-01
5.823528766632080078e-01,5.239566643778132971e-01,1.703296703296715009e-01,3.663003663003667754e-01
5.873529911041259766e-01,5.251010910200655246e-01,1.703296703296715009e-01,3.780219780219784553e-01
5.923531055450439453e-01,5.251010910200655246e-01,5.494505494507251342e-03,4.014652014652018153e-01
5.973532199859619141e-01,5.251010910200655246e-01,-2.747252747252915128e-02,3.545787545787550954e-01
6.023533344268798828e-01,5.251010910200655246e-01,5.494505494507251342e-03,3.076923076923083755e-01
6.073536872863769531e-01,5.251010910200655246e-01,5.494505494507251342e-03,2.783882783882791756e-01
